,Unnamed: 0,L,R,F,M,C,0
0,1688,0.5294117647058824,0.0013698630136986301,0.1848341232227488,0.12441651489017815,0.4596454003354444,0
1,25202,0.8725490196078431,0.10821917808219178,0.03791469194312797,0.017480860654537182,0.5079108993650363,1
2,38513,0.0,0.5123287671232877,0.0,0.013150707591466514,0.3035105908630439,1
3,15729,0.1568627450980392,0.1410958904109589,0.08530805687203792,0.035578591502699236,0.4056146017160028,0
4,5006,0.09803921568627452,0.17397260273972606,0.08530805687203792,0.07938671385666211,0.42008092355017657,0
5,38339,0.2352941176470588,0.16986301369863013,0.018957345971563986,0.01343674237398531,0.2988393163089577,1
6,35347,0.9803921568627452,0.1136986301369863,0.03317535545023697,0.016674449339966122,0.2785770324885571,1
7,3976,0.19607843137254904,0.010958904109589041,0.061611374407582936,0.04770577704105633,0.8786521136069741,0
8,19774,0.19607843137254904,0.0589041095890411,0.04739336492890995,0.02721982806897229,0.42645746371177823,1
9,24364,0.8039215686274509,0.2479452054794521,0.04265402843601896,0.023899412250214958,0.3689629125555399,1
10,21431,0.3431372549019608,0.046575342465753435,0.04265402843601896,0.024721331474681613,0.4305026683348717,1
11,34806,0.5196078431372549,0.05068493150684932,0.03791469194312797,0.011513761546931242,0.4545980962813923,1
12,24285,0.4901960784313725,0.0013698630136986301,0.018957345971563986,0.013879579356559587,0.695610492289191,1
13,45315,0.5392156862745098,0.18493150684931506,0.0047393364928909965,0.007576475534549039,0.3578357647635643,2
14,32479,0.2352941176470588,0.3219178082191781,0.018957345971563986,0.013826163222474751,0.4251280340534875,1
15,18093,0.2352941176470588,0.12191780821917808,0.07109004739336493,0.040670355251753686,0.2881255503773865,0
16,3158,0.8529411764705882,0.0821917808219178,0.12796208530805686,0.08002943056677965,0.5549653756016245,0
17,31162,0.2647058823529412,0.021917808219178082,0.023696682464454968,0.012580361127528436,0.5143258908740497,1
18,20654,0.215686274509804,0.0054794520547945215,0.08530805687203792,0.0234117746390534,0.4807051462006381,1
19,28237,0.9117647058823528,0.04383561643835617,0.03791469194312797,0.02159390297906949,0.3233328326747516,1
20,52705,0.1176470588235294,0.7150684931506849,0.0,0.003540972759494718,0.4226204617674781,2
21,48586,0.05882352941176471,0.7630136986301371,0.0,0.004912561234705324,0.4508573719009842,2
22,24238,0.06862745098039216,0.06575342465753424,0.03317535545023697,0.01711039391814236,0.5526865099094669,1
23,32325,0.6568627450980392,0.0136986301369863,0.0047393364928909965,0.007679861600519687,0.8212778168458237,1
24,42575,0.0392156862745098,0.1095890410958904,0.018957345971563986,0.009116927917511704,0.3549824412050712,2
25,2911,0.1862745098039216,0.023287671232876717,0.17535545023696686,0.11095564910079968,0.3906574799244388,0
26,39932,0.0196078431372549,0.3150684931506849,0.0047393364928909965,0.007909034046754625,0.500604036305248,2
27,19654,0.1568627450980392,0.05753424657534247,0.05213270142180095,0.02802623938354335,0.4154951969573477,0
28,26815,0.7549019607843137,0.0013698630136986301,0.009478672985781993,0.02054798061166643,0.377215903691075,1
29,30540,0.17647058823529413,0.8109589041095892,0.018957345971563986,0.013960565108236594,0.4742333754086984,1
30,21291,0.6568627450980392,0.8849315068493151,0.023696682464454968,0.023091277834544385,0.4710869903680962,1
31,22442,0.38235294117647056,0.05068493150684932,0.04739336492890995,0.02730598312394783,0.35566596784658394,1
32,39717,0.6568627450980392,0.1136986301369863,0.018957345971563986,0.011555115973319504,0.32630094575248464,2
33,36322,0.2647058823529412,0.2027397260273973,0.02843601895734597,0.017100055311545296,0.2508204764375979,1
34,43333,0.215686274509804,0.0273972602739726,0.018957345971563986,0.00980789145841554,0.3071763245953437,2
35,56653,0.2058823529411765,0.1958904109589041,0.0,0.0028844712405810984,0.2595217860754466,2
36,8443,0.9509803921568628,0.0027397260273972607,0.0995260663507109,0.04852425006332396,0.5082412222973876,0
37,3723,0.7352941176470589,0.0136986301369863,0.21800947867298576,0.0908608440783046,0.4345579999139741,0
38,14516,0.7745098039215687,0.030136986301369864,0.12322274881516587,0.03790305488593932,0.40967607486540025,0
39,49528,0.16666666666666666,0.547945205479452,0.0,0.0061445785208555535,0.3218392595245427,2
40,44675,0.4901960784313725,0.1589041095890411,0.0,0.007509274591668117,0.38178323636518186,2
41,33894,0.00980392156862745,0.3739726027397261,0.0,0.006292765215413485,0.9202584370727364,1
42,699,0.7156862745098039,0.0013698630136986301,0.17061611374407584,0.1065427871849525,0.8310046066975224,0
43,56837,0.8039215686274509,0.5178082191780822,0.0,0.0021349222622938954,0.33902737619145423,2
44,30748,0.0392156862745098,0.031506849315068496,0.061611374407582936,0.018035699208579663,0.3444734314294384,1
45,34093,0.08823529411764706,0.1808219178082192,0.03317535545023697,0.012828487685857991,0.4198916551192571,1
