,FFP_DATE,LOAD_TIME,FLIGHT_COUNT,avg_discount,SEG_KM_SUM,LAST_TO_END
0,2006/11/2,2014/3/31,210,0.961639043,580717,1
1,2007/2/1,2014/3/31,135,1.254675516,283712,11
2,2008/8/22,2014/3/31,23,1.090869565,281336,97
3,2009/4/10,2014/3/31,152,0.970657895,309928,5
4,2008/2/10,2014/3/31,92,0.967692483,294585,79
5,2006/3/22,2014/3/31,101,0.965346535,287042,1
6,2010/4/9,2014/3/31,73,0.962070222,287230,3
7,2010/7/5,2014/3/31,64,0.7080101529999999,375074,15
8,2010/11/18,2014/3/31,43,0.988658044,262013,22
9,2004/11/13,2014/3/31,145,0.95253487,271438,6
10,2006/11/23,2014/3/31,29,0.799126984,321529,67
11,2006/10/25,2014/3/31,118,1.398381742,179514,3
12,2010/2/1,2014/3/31,50,0.921984841,270067,2
13,2008/3/28,2014/3/31,22,1.026084586,234721,65
14,2010/7/15,2014/3/31,101,1.3865249,172231,7
15,2006/4/6,2014/3/31,64,1.401596264,169358,2
16,2011/8/29,2014/3/31,38,0.70828541,332896,24
17,2008/7/30,2014/3/31,106,1.369404116,167113,4
18,2005/4/10,2014/3/31,94,0.741803833,305250,23
19,2010/10/14,2014/3/31,62,0.902990019,243674,17
20,2007/2/1,2014/3/31,213,1.146354614,187917,3
21,2005/1/15,2014/3/31,74,1.4333644280000002,148685,11
22,2006/1/7,2014/3/31,101,1.33816985,159129,18
23,2008/6/16,2014/3/31,87,1.424714581,149254,11
24,2006/4/11,2014/3/31,53,1.469224298,144076,2
25,2004/11/25,2014/3/31,95,1.414895104,149053,8
26,2005/4/11,2014/3/31,131,0.944884271,220948,16
27,2006/3/20,2014/3/31,95,1.3986401940000002,148227,3
28,2009/10/13,2014/3/31,25,0.937899941,220389,108
29,2005/2/13,2014/3/31,24,1.087220053,189813,34
30,2006/3/30,2014/3/31,54,1.462104927,141012,125
31,2007/5/8,2014/3/31,166,0.890172305,229303,1
32,2009/2/27,2014/3/31,81,1.4291794430000002,140819,34
33,2006/4/25,2014/3/31,98,1.458541443,137876,2
34,2011/1/18,2014/3/31,35,0.998554546,201141,3
35,2007/1/4,2014/3/31,95,1.3969850069999998,140803,3
36,2010/5/4,2014/3/31,46,0.764737193,256766,13
37,2004/12/4,2014/3/31,54,1.20853437,160825,38
38,2012/7/13,2014/3/31,110,1.015978367,187588,1
39,2006/7/16,2014/3/31,134,1.356053179,140356,7
40,2005/1/26,2014/3/31,107,1.3989924230000002,135811,2
41,2010/7/15,2014/3/31,70,0.863479447,219282,304
42,2008/5/21,2014/3/31,189,0.802633323,235687,1
